lat,lon,composite_index
33.2,126.25,47.35
33.2,126.3,46.45
33.25,126.2,45.3
33.25,126.25,48.39
33.25,126.3,51.57
33.25,126.35,57.59
33.25,126.4,62.34
33.25,126.45,65.55
33.25,126.5,67.18
33.25,126.55,67.27
33.25,126.6,66.9
33.25,126.65,68.92
33.25,126.7,67.77
33.3,126.2,43.26
33.3,126.25,50.95
33.3,126.3,54.82
33.3,126.35,62.48
33.3,126.4,73.1
33.3,126.45,83.41
33.3,126.5,88.47
33.3,126.55,86.92
33.3,126.6,77.98
33.3,126.65,76.1
33.3,126.7,72.95
33.3,126.75,68.17
33.3,126.8,65.39
33.3,126.85,64.11
33.35,126.2,45.34
33.35,126.25,50.23
33.35,126.3,57.28
33.35,126.35,69.44
33.35,126.4,84.42
33.35,126.45,105.06
33.35,126.5,127.78
33.35,126.55,137.41
33.35,126.6,115.66
33.35,126.65,96.0
33.35,126.7,82.27
33.35,126.75,71.97
33.35,126.8,66.84
33.35,126.85,65.95
33.4,126.25,47.45
33.4,126.3,50.22
33.4,126.35,60.1
33.4,126.4,73.22
33.4,126.45,89.04
33.4,126.5,104.49
33.4,126.55,113.22
33.4,126.6,116.14
33.4,126.65,110.59
33.4,126.7,93.64
33.4,126.75,80.56
33.4,126.8,69.33
33.4,126.85,67.92
33.4,126.9,67.32
33.45,126.3,48.28
33.45,126.35,53.39
33.45,126.4,58.84
33.45,126.45,66.44
33.45,126.5,72.58
33.45,126.55,77.76
33.45,126.6,80.94
33.45,126.65,85.05
33.45,126.7,80.73
33.45,126.75,77.23
33.45,126.8,68.83
33.45,126.85,64.06
33.45,126.9,62.04
33.5,126.45,60.33
33.5,126.5,61.51
33.5,126.55,62.44
33.5,126.6,65.54
33.5,126.65,64.25
33.5,126.7,65.19
33.5,126.75,65.09
33.5,126.8,60.4
33.5,126.85,59.3
33.5,126.9,58.17
33.5,126.95,58.14
33.55,126.65,58.13
33.55,126.7,59.17
33.55,126.75,60.02
33.55,126.8,58.29
33.55,126.85,58.29
34.15,126.55,57.22
34.15,126.6,49.91
34.15,126.65,50.77
34.15,126.85,49.81
34.15,126.9,49.36
34.2,126.55,50.68
34.2,126.6,49.27
34.2,126.9,52.15
34.2,127.25,50.29
34.25,125.95,43.35
34.25,127.25,49.52
34.3,126.05,44.23
34.3,126.1,45.76
34.3,126.55,47.87
34.3,126.6,48.24
34.3,126.7,49.92
34.3,126.75,49.49
34.3,126.85,48.49
